Candidate,Trial Leads,Clean F1,Clean AUROC,Clean AUPRC,Instability Penalty,Final Robust Score
I,I,0.5361549854278564,0.8333992958068848,0.6420377492904663,0.0,0.5361549854278564
II,II,0.5649157762527466,0.8501675724983215,0.6655095219612122,0.0,0.5649157762527466
III,III,0.4202074408531189,0.7871674299240112,0.5651388168334961,0.0,0.4202074408531189
aVR,aVR,0.5939121842384338,0.8611088991165161,0.6870288848876953,0.0,0.5939121842384338
aVL,aVL,0.49295753240585327,0.8008135557174683,0.5809024572372437,0.0,0.49295753240585327
aVF,aVF,0.49358227849006653,0.8145063519477844,0.6073299646377563,0.0,0.49358227849006653
V1,V1,0.4904569983482361,0.8146665692329407,0.6011560559272766,0.0,0.4904569983482361
V2,V2,0.4600466787815094,0.7927822470664978,0.5867003798484802,0.0,0.4600466787815094
V3,V3,0.5083240270614624,0.81145840883255,0.6114403009414673,0.0,0.5083240270614624
V4,V4,0.5260708928108215,0.8325521349906921,0.6489337682723999,0.0,0.5260708928108215
V5,V5,0.6057614088058472,0.8572882413864136,0.692720890045166,0.0,0.6057614088058472
V6,V6,0.6013427972793579,0.8567312955856323,0.6893473863601685,0.0,0.6013427972793579
